NAME,ONLINE_ORDER,RESERVATION_STATUS,LOCATION,REST_TYPE,CUISINES,APPROX_COST(FOR TWO PEOPLE)
Jalsa,Yes,Yes,Banashankari,CasualDining,NorthIndianMughlaiChinese,800.0
SpiceElephant,Yes,No,Banashankari,CasualDining,ChineseNorthIndianThai,800.0
SanChurroCafe,Yes,No,Banashankari,CafeCasualDining,CafeMexicanItalian,800.0
AddhuriUdupiBhojana,No,No,Banashankari,QuickBites,SouthIndianNorthIndian,300.0
GrandVillage,No,No,Basavanagudi,CasualDining,NorthIndianRajasthani,600.0
TimepassDinner,Yes,No,Basavanagudi,CasualDining,NorthIndian,600.0
RosewoodInternationalHotel-Bar&Restaurant,No,No,MysoreRoad,CasualDining,NorthIndianSouthIndianAndhraChinese,800.0
Onesta,Yes,Yes,Banashankari,CasualDiningCafe,PizzaCafeItalian,600.0
PenthouseCafe,Yes,No,Banashankari,Cafe,CafeItalianContinental,700.0
Smacznego,Yes,No,Banashankari,Cafe,CafeMexicanItalianMomosBeverages,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©DownTheAlley,Yes,No,Banashankari,Cafe,Cafe,500.0
CafeShuffle,Yes,Yes,Banashankari,Cafe,CafeItalianContinental,600.0
TheCoffeeShack,Yes,Yes,Banashankari,Cafe,CafeChineseContinentalItalian,500.0
Caf-Eleven,No,No,Banashankari,Cafe,CafeContinental,450.0
CafeVivacity,Yes,No,Banashankari,Cafe,Cafe,650.0
Catch-up-ino,Yes,No,Banashankari,Cafe,CafeFastFoodContinentalChineseMomos,800.0
Kirthi'sBiryani,Yes,No,Banashankari,Cafe,ChineseCafeItalian,700.0
T3HCafe,No,No,Banashankari,Cafe,CafeItalianAmerican,300.0
360AtomsRestaurantAndCafe,Yes,No,Banashankari,Cafe,CafeChineseContinentalItalian,400.0
TheVintageCafe,Yes,No,Banashankari,Cafe,CafeFrenchNorthIndian,400.0
WoodeePizza,Yes,No,Banashankari,Cafe,CafePizzaFastFoodBeverages,500.0
CafeCoffeeDay,No,No,Banashankari,Cafe,CafeFastFood,900.0
MyTeaHouse,Yes,No,Banashankari,QuickBitesCafe,ItalianFastFoodCafeEuropean,600.0
HideOutCafe,No,No,Banashankari,Cafe,Cafe,300.0
CAFENOVA,No,No,Banashankari,Cafe,CafeBakery,600.0
CoffeeTindi,Yes,No,Banashankari,CafeQuickBites,CafeSouthIndian,200.0
SeaGreenCafe,No,No,Banashankari,Cafe,CafeFastFoodBeverages,500.0
Cuppa,No,No,Banashankari,Cafe,CafeFastFood,550.0
Srinathji'sCafe,No,No,Basavanagudi,CasualDiningCafe,NorthIndianCafeChineseFastFood,550.0
Redberrys,Yes,No,Basavanagudi,Cafe,CafeItalian,600.0
Foodiction,Yes,No,Banashankari,QuickBites,NorthIndianFastFoodChineseBurger,500.0
SweetTruth,Yes,No,Banashankari,Delivery,BakeryDesserts,500.0
OvenstoryPizza,Yes,No,Banashankari,Delivery,Pizza,750.0
Faasos,Yes,No,Banashankari,QuickBites,NorthIndianBiryaniFastFood,500.0
BehrouzBiryani,Yes,No,Banashankari,Delivery,Biryani,650.0
FastAndFresh,Yes,No,Banashankari,QuickBites,NorthIndianChineseFastFood,400.0
SzechuanDragon,Yes,No,Banashankari,CasualDining,ChineseThaiMomos,600.0
EmpireRestaurant,Yes,No,Jayanagar,CasualDining,NorthIndianMughlaiSouthIndianChinese,750.0
MaruthiDavangereBenneDosa,Yes,No,Banashankari,QuickBites,SouthIndian,150.0
Chaatimes,Yes,No,Basavanagudi,QuickBites,StreetFoodFastFood,200.0
HavyakaMess,No,No,Banashankari,Mess,SouthIndian,300.0
McDonald's,Yes,No,Banashankari,QuickBites,BurgerFastFood,500.0
Domino'sPizza,Yes,No,Banashankari,QuickBites,PizzaFastFood,800.0
Hotboxit,No,No,Banashankari,Delivery,NorthIndianContinentalItalian,400.0
KitchenGarden,Yes,No,KumaraswamyLayout,QuickBites,NorthIndianChinese,300.0
Recipe,Yes,No,KumaraswamyLayout,CasualDining,NorthIndianChineseBiryaniRolls,450.0
BeijingBites,Yes,No,RajarajeshwariNagar,CasualDining,ChineseThai,850.0
TastyBytes,Yes,No,KumaraswamyLayout,QuickBites,NorthIndianChineseMomosRolls,300.0
Petoo,No,No,Banashankari,QuickBites,NorthIndian,450.0
ShreeCoolPoint,Yes,No,VijayNagar,QuickBites,FastFoodStreetFoodBeverages,150.0
CornerHouseIceCream,No,No,Banashankari,DessertParlor,IceCreamDesserts,400.0
BiryanisAndMore,Yes,No,Jayanagar,CasualDining,BiryaniNorthIndianChineseAndhraSouthIndian,750.0
RovingFeast,No,No,Banashankari,QuickBites,ItalianContinentalFastFoodChineseMomos,450.0
FreshMenu,Yes,No,Banashankari,Delivery,HealthyFoodChineseBiryaniNorthIndianContinentalSaladAmericanBurger,450.0
BanashankariDonneBiriyani,Yes,No,Banashankari,QuickBites,BiryaniFastFood,300.0
Wamama,Yes,Yes,Banashankari,CasualDining,AsianKoreanIndonesianJapaneseChineseThaiMomos,800.0
FiveStarChicken,No,No,Banashankari,QuickBites,FastFoodBurger,200.0
XOBelgianWaffle,Yes,No,Banashankari,DessertParlor,DessertsBeverages,400.0
PeppyPeppers,No,No,Banashankari,CasualDining,ItalianNorthIndianMexican,800.0
Goa0Km,Yes,Yes,KumaraswamyLayout,CasualDining,GoanSeafoodNorthIndianChineseBiryani,800.0
ChineseKitchen,Yes,No,Basavanagudi,QuickBites,Chinese,150.0
1947,No,Yes,Banashankari,CasualDining,NorthIndianChinese,850.0
CakeoftheDay,No,No,Banashankari,BakeryDessertParlor,Bakery,150.0
KababMagic,Yes,No,Basavanagudi,QuickBites,NorthIndianKebabChineseFastFood,400.0
NammaBrahmin'sIdli,Yes,No,Jayanagar,QuickBites,SouthIndian,100.0
GustoesBeerHouse,No,No,Banashankari,Pub,ContinentalItalianMexicanNorthIndianChineseSteak,1200.0
SugarRush,No,No,Banashankari,Bakery,BakeryDesserts,300.0
BurgerKing,Yes,No,Basavanagudi,QuickBites,BurgerFastFoodBeverages,600.0
TheGoodBowl,Yes,No,Banashankari,TakeawayDelivery,ItalianNorthIndianBiryani,500.0
TheBiryaniCafe,No,No,Banashankari,QuickBites,BiryaniChineseKebab,300.0
SpicyTandoor,No,No,Banashankari,QuickBites,NorthIndian,150.0
LSDCafe,No,No,Banashankari,Delivery,ChineseContinentalItalianNorthIndian,700.0
RollsOnWheels,No,No,Banashankari,QuickBites,FastFoodRollsMomos,300.0
OmSriVinayakaChats,No,No,Banashankari,TakeawayDelivery,StreetFoodFastFood,500.0
SriGuruKottureshwaraDavangereBenneDosa,Yes,No,Basavanagudi,QuickBites,SouthIndian,150.0
DevannaDumBiriyaniCentre,Yes,No,Banashankari,QuickBites,BiryaniSouthIndian,300.0
Kolbeh,No,No,Banashankari,QuickBites,FastFood,500.0
UpaharSagar,No,No,Banashankari,QuickBites,SouthIndianChineseNorthIndian,350.0
KadaluSeaFoodRestaurant,Yes,No,VijayNagar,FineDining,SeafoodNorthIndianChineseAndhraBiryaniKebab,500.0
FrozenBottle,Yes,No,Banashankari,BeverageShop,BeveragesDessertsIceCream,400.0
ParimalaSweets,No,No,Banashankari,SweetShop,MithaiStreetFood,200.0
VaishaliDeluxe,No,No,Banashankari,CasualDining,NorthIndianChinese,700.0
ChillOut,No,No,Banashankari,QuickBites,SouthIndianChinese,100.0
TheBigOBakes,No,No,Banashankari,Bakery,BakeryDesserts,300.0
MeghanaFoods,Yes,No,Jayanagar,CasualDining,BiryaniNorthIndianChinese,600.0
KrishnaSagar,No,No,Banashankari,QuickBites,NorthIndian,200.0
DessertRose,No,No,Banashankari,DessertParlor,Desserts,500.0
ChickpetDonneBiryaniHouse,No,No,Banashankari,QuickBites,Biryani,250.0
MeAndMyCake,No,No,Banashankari,Delivery,BakeryDesserts,500.0
Sunsadm,No,No,Banashankari,TakeawayDelivery,SouthIndian,400.0
AnnapooraneshwariMess,No,No,Banashankari,Mess,SouthIndian,200.0
Thanco'sNaturalIceCreams,No,No,Banashankari,DessertParlor,IceCream,300.0
NandhiniDeluxe,No,No,Banashankari,CasualDining,NorthIndian,600.0
ViRa'sBarandRestaurant,No,No,Banashankari,Bar,SouthIndianNorthIndianChinese,800.0
Kaggis,No,No,Banashankari,QuickBites,FastFoodBakery,250.0
AydaPersianKitchen,No,No,Banashankari,CasualDining,NorthIndianIranian,950.0
ChatarPatar,No,No,Banashankari,QuickBites,FastFoodStreetFood,300.0
PolarBear,Yes,No,Basavanagudi,DessertParlor,IceCreamDessertsBeveragesSandwich,400.0
Kidambi'sKitchen,No,No,Banashankari,QuickBites,SouthIndian,300.0
ManeThindi,No,No,Banashankari,QuickBites,SouthIndian,200.0
KotianKaravaliRestaurant,No,No,Banashankari,QuickBites,SouthIndianBiryani,300.0
Floured-BakedWithLove,No,No,Banashankari,TakeawayDelivery,Bakery,400.0
Cakes&Slices,No,No,Banashankari,Bakery,BakeryDesserts,300.0
Spice9,No,No,Banashankari,QuickBites,BiryaniNorthIndianChineseFastFood,300.0
CoffeeShopee,No,No,Banashankari,TakeawayDelivery,Beverages,250.0
NaveenKabab&BiriyaniMane,No,No,Banashankari,QuickBites,Biryani,300.0
KatriguppeDonneBiryani,No,No,Banashankari,QuickBites,NorthIndian,300.0
HariSuperSandwich,No,No,Banashankari,TakeawayDelivery,SandwichPizzaBeverages,200.0
AtithiPointAndeKaFunda,No,No,Banashankari,QuickBites,NorthIndian,150.0
JustBake,No,No,Banashankari,Bakery,BakeryDesserts,400.0
DharwadLineBazaarMishraPedha,No,No,Banashankari,DessertParlor,Mithai,150.0
CakeBite,No,No,Banashankari,Bakery,Bakery,300.0
Aarush'sFoodPlaza,No,No,Banashankari,QuickBites,NorthIndianStreetFood,200.0
WoodStove,No,No,Banashankari,TakeawayDelivery,SouthIndian,150.0
Kulfi&More,No,No,Banashankari,DessertParlor,IceCreamDessertsJuices,150.0
KannadigasKaravali,No,No,Banashankari,QuickBites,MangaloreanSouthIndianNorthIndian,250.0
K27-ThePub,No,No,Banashankari,Bar,ChineseNorthIndian,1000.0
BengaluruCoffeeHouse,Yes,No,Banashankari,QuickBites,SouthIndianNorthIndianChineseStreetFood,300.0
NewMangaloreLunchHome,No,No,Banashankari,QuickBites,MangaloreanSouthIndianNorthIndian,200.0
CoffeeBytes,No,No,Banashankari,QuickBites,FastFoodSouthIndian,100.0
ParjanyaChatZone,No,No,Banashankari,QuickBites,StreetFoodFastFood,200.0
KwalityWall'sSwirl'sHappinessStation,No,No,Banashankari,DessertParlor,IceCreamDesserts,200.0
SomsKitchen&Bakes,No,No,Banashankari,Delivery,SouthIndianNorthIndianContinental,400.0
BanashankariNatiStyle,No,No,Banashankari,QuickBites,BiryaniChineseSouthIndianNorthIndian,350.0
RuchiMaayaka,No,No,Banashankari,Delivery,SouthIndian,100.0
MohiteshHutRoll,No,No,Banashankari,QuickBites,RollsNorthIndian,150.0
SriBasaveshwarJoladaRottiOota,No,No,Banashankari,QuickBites,SouthIndian,150.0
RollMagicFastFood,No,No,Banashankari,TakeawayDelivery,BiryaniRollsChinese,200.0
FoodlieiousMultiCuisine,No,No,Banashankari,QuickBites,NorthIndian,100.0
ThanishkaNatiAndKaravaliStyle,No,No,Banashankari,QuickBites,BiryaniFastFood,400.0
SwathiCoolPoint,No,No,Banashankari,BeverageShop,BeveragesJuices,200.0
KaumudisJuoice,No,No,Banashankari,BeverageShopQuickBites,BeveragesFastFoodJuices,150.0
Amma-Manae,No,No,Banashankari,TakeawayDelivery,SouthIndian,400.0
SriSaiTiffannies,No,No,Banashankari,QuickBites,SouthIndianChinese,150.0
HotelAndhraSpeices,No,No,Banashankari,QuickBites,Andhra,250.0
SriMurariFamilyRestaurant,No,No,Banashankari,QuickBites,Biryani,250.0
AramaneDonneBiriyani,No,No,Banashankari,QuickBites,SouthIndianBiryani,150.0
Darkolates,No,No,Banashankari,Confectionery,Desserts,200.0
SwaadaHealthyKitchen,No,No,Banashankari,QuickBitesBeverageShop,HealthyFoodJuicesSandwich,350.0
GawdaruManeBeriyani,No,No,Banashankari,QuickBites,SouthIndianBiryani,300.0
MeltingMelodies,No,No,Banashankari,TakeawayDelivery,PizzaFastFood,100.0
NewIndraprasta,No,No,Banashankari,QuickBites,SouthIndianBeverages,150.0
AnnaKuteera,Yes,No,Banashankari,CasualDining,SouthIndianNorthIndianChinese,450.0
Darbar,No,No,Banashankari,Bar,NorthIndianChinese,800.0
Vijayalakshmi,Yes,No,Basavanagudi,QuickBites,SouthIndian,200.0
SriUdupiFoodHub,Yes,Yes,Jayanagar,CasualDining,SouthIndianNorthIndianChineseBeverages,500.0
UdupiUpahar,Yes,No,Banashankari,QuickBites,SouthIndianChineseNorthIndianJuices,300.0
HouseOfKebabs,Yes,No,Basavanagudi,CasualDining,NorthIndianKebabBiryaniChinese,650.0
RollNRock,Yes,No,KumaraswamyLayout,QuickBites,ChineseNorthIndianMughlaiRolls,400.0
BOX8-DesiMeals,Yes,No,Banashankari,TakeawayDelivery,NorthIndianMughlaiFastFood,500.0
KFC,Yes,No,Banashankari,QuickBites,BurgerFastFood,450.0
Bitez,No,No,Banashankari,QuickBites,FastFood,100.0
RollOver,Yes,No,Jayanagar,DessertParlor,DessertsIceCreamBeveragesFastFoodSandwich,500.0
ImperialRestaurant,Yes,No,MysoreRoad,CasualDining,NorthIndianChineseBiryaniBeverages,750.0
LassiShop,Yes,No,KumaraswamyLayout,BeverageShop,BeveragesJuicesIceCream,150.0
TheFortuna,Yes,No,KumaraswamyLayout,QuickBites,NorthIndianChinese,250.0
Wahab,Yes,No,Jayanagar,QuickBites,NorthIndianMughlaiChinese,350.0
AlDiwanBiryanisAndMore,Yes,No,Basavanagudi,TakeawayDelivery,Biryani,300.0
NewGowda'sFriedChicken,Yes,No,Banashankari,QuickBites,Biryani,300.0
Canton,Yes,No,Jayanagar,CasualDining,ChineseSeafoodBiryani,800.0
DiabeticsDezireSugarlessSweetsandBakes,Yes,No,Basavanagudi,DessertParlorSweetShop,DessertsMithai,300.0
TheBlueWagon-Kitchen,Yes,No,Jayanagar,Cafe,CafeBeverages,400.0
HOTCOFFEE,Yes,No,Basavanagudi,QuickBites,SouthIndianChinese,150.0
Patio805,Yes,Yes,Jayanagar,CasualDining,ThaiVietnameseAsianChinese,1200.0
LassiCorner,Yes,No,Basavanagudi,BeverageShop,BeveragesIceCream,150.0
SagarDeluxe,Yes,No,KumaraswamyLayout,QuickBites,SouthIndianNorthIndianChineseJuices,300.0
KantiSweets,Yes,No,Banashankari,SweetShop,MithaiStreetFood,400.0
Vegetalia,Yes,No,Banashankari,TakeawayDelivery,ItalianPizza,400.0
AramaneDonneBiryani,Yes,No,Banashankari,QuickBites,Biryani,200.0
AndeKaFunda,Yes,No,Banashankari,QuickBites,NorthIndianFastFoodRolls,250.0
CakeGhar,Yes,No,Basavanagudi,Bakery,Bakery,400.0
EnergyAddaa,Yes,No,Basavanagudi,QuickBites,SaladHealthyFoodSandwichJuicesBurgerDessertsPizza,500.0
BhattaraBhojana,Yes,No,Banashankari,QuickBites,SouthIndian,150.0
TandooriKnight,Yes,No,Banashankari,QuickBites,NorthIndianChineseBiryaniKebab,450.0
DevSagar-FoodStreet,Yes,No,Basavanagudi,QuickBites,StreetFood,200.0
MitraaDaPizza,Yes,No,KumaraswamyLayout,QuickBites,FastFoodPizza,250.0
ParadisePremium,Yes,No,Banashankari,CasualDining,BiryaniAndhraHyderabadiNorthIndian,700.0
Grazers,Yes,Yes,Jayanagar,Cafe,CafeBurgerContinentalItalianDesserts,650.0
ShakesTheory,Yes,No,Jayanagar,BeverageShop,BeveragesSandwich,300.0
@Italy,Yes,No,KumaraswamyLayout,CasualDining,Italian,700.0
ChilliFlakes,Yes,No,Banashankari,QuickBites,FastFoodItalianBeverages,500.0
CalcuttaCafe,Yes,No,KumaraswamyLayout,QuickBites,BengaliChineseSandwich,350.0
OldMumbaiIceCream,Yes,No,Banashankari,DessertParlor,IceCream,150.0
DonneBiriyaniHouse,Yes,No,Banashankari,QuickBites,SouthIndianNorthIndianChineseBiryani,400.0
By2Coffee,Yes,No,Basavanagudi,QuickBites,SouthIndian,100.0
Kedia'sFunFood,Yes,No,Jayanagar,QuickBites,NorthIndianStreetFoodJuices,200.0
DavangereButterDosaHotel,Yes,No,KumaraswamyLayout,QuickBites,SouthIndian,150.0
JustShawarma,Yes,No,KumaraswamyLayout,QuickBites,Arabian,300.0
MiniPunjabiDhaba,Yes,No,Banashankari,QuickBites,NorthIndian,350.0
MulabagiluDosa,Yes,No,Basavanagudi,QuickBites,SouthIndian,100.0
GokulVeg,Yes,No,Basavanagudi,CasualDining,NorthIndianChineseBeverages,750.0
Olive-Era,Yes,No,KumaraswamyLayout,CasualDining,BBQArabianRollsChineseNorthIndianJuicesKebabDesserts,550.0
UdupiRuchi,Yes,No,Banashankari,QuickBites,SouthIndianNorthIndianChineseStreetFood,200.0
MadhappaHinduMilitaryHotel,Yes,No,Banashankari,QuickBites,SouthIndian,300.0
GamaGama,Yes,No,Banashankari,QuickBites,SouthIndian,200.0
PizzaHut,Yes,No,Banashankari,CasualDining,PizzaFastFood,750.0
MangalorePearl,Yes,No,Jayanagar,CasualDining,MangaloreanSeafoodChineseBiryani,650.0
AshaSweetsCentre,Yes,No,Basavanagudi,DessertParlor,FastFood,250.0
TwiststickHouse,Yes,No,Basavanagudi,QuickBites,ContinentalFastFoodStreetFoodMomos,500.0
CoolCorner,Yes,No,Basavanagudi,QuickBites,StreetFoodFastFood,250.0
PizzaMane,Yes,No,Banashankari,QuickBites,PizzaSandwichBurgerFastFood,150.0
DalTadkaa,Yes,No,Banashankari,CasualDining,NorthIndian,500.0
ChutneyChang,Yes,Yes,Jayanagar,CasualDining,NorthIndianChineseBBQ,1500.0
MystiquePalate,Yes,No,Jayanagar,QuickBites,ChineseFastFood,300.0
Thamboola,Yes,No,Banashankari,CasualDining,NorthIndianChineseContinental,800.0
CastleRock,Yes,No,Uttarahalli,CasualDining,NorthIndianChinese,700.0
VietnameseKitchen,Yes,No,Banashankari,CasualDining,Vietnamese,700.0
CCorner,Yes,No,KumaraswamyLayout,QuickBites,FastFoodStreetFood,200.0
ParathaMerchant,Yes,No,KumaraswamyLayout,QuickBites,NorthIndian,300.0
NorthRasoe,Yes,No,KumaraswamyLayout,CasualDining,NorthIndianChineseBiryaniKebab,500.0
IncharaRestaurant,Yes,No,Basavanagudi,QuickBites,NorthIndianChinese,300.0
Toscano,Yes,Yes,Jayanagar,CasualDining,ItalianSalad,1300.0
LordOfTheKitchen,Yes,No,KumaraswamyLayout,QuickBites,NorthIndianChinese,350.0
StonedMonkey,Yes,No,Banashankari,DessertParlor,DessertsIceCream,500.0
CentralJailRestaurant,Yes,No,Jayanagar,CasualDining,AndhraSeafoodNorthIndianChinese,700.0
Bella,Yes,Yes,Jayanagar,CasualDining,MangaloreanSeafoodSouthIndian,1000.0
VennelaAndhraMeals,Yes,No,Jayanagar,QuickBites,Andhra,400.0
NewPrashanthHotel,Yes,No,Jayanagar,CasualDining,SouthIndianBiryaniChineseNorthIndian,750.0
TheGrillo,Yes,Yes,Jayanagar,CasualDining,SouthIndianArabianChineseNorthIndianSeafoodMangalorean,500.0
ReMalnadNatiStyleHotel,Yes,No,JPNagar,CasualDining,SouthIndian,400.0
KarmaKaapi,Yes,No,Jayanagar,BeverageShop,BeveragesTea,250.0
Tiwari's,Yes,No,Jayanagar,QuickBites,NorthIndianStreetFood,200.0
PizzaStop,Yes,No,Basavanagudi,QuickBites,PizzaItalian,600.0
BiggiesBurger'n'More,Yes,No,KumaraswamyLayout,QuickBites,CafeBurgerBeverages,650.0
Kollapuri's,No,No,Basavanagudi,QuickBites,SouthIndianMangalorean,450.0
SugarStarsCo,No,No,Basavanagudi,Bakery,BakeryDesserts,300.0
BombayKulfis,No,No,JPNagar,DessertParlor,IceCream,200.0
KadambaClassic,No,No,MysoreRoad,QuickBites,SouthIndian,300.0
RSShivSagar,No,No,Basavanagudi,CasualDining,NorthIndianChineseSouthIndianFastFoodJuices,450.0
KholiMane,No,No,Basavanagudi,QuickBites,AndhraSouthIndianBiryaniNorthIndian,450.0
HarshiSuperSandwich,No,No,Basavanagudi,QuickBites,FastFoodStreetFood,150.0
CakeYard,No,No,Basavanagudi,DessertParlor,Desserts,250.0
SriUdupiVeg,No,No,Jayanagar,QuickBites,SouthIndian,250.0
CakeArt,No,No,Basavanagudi,BakeryQuickBites,Bakery,400.0
AaharCafe,No,No,Basavanagudi,QuickBites,SouthIndian,100.0
AkashGowdruBiryaniCenter,No,No,Uttarahalli,QuickBites,NorthIndianChinese,300.0
NewSriUdupiRestaurant,No,No,Jayanagar,QuickBites,NorthIndianSouthIndianChineseBeveragesFastFood,200.0
PotatoHouse,Yes,No,Uttarahalli,QuickBites,StreetFood,200.0
HotelBiriyaniCounter,No,No,VijayNagar,QuickBites,NorthIndianChineseBiryani,350.0
MatruSagar,Yes,No,MysoreRoad,QuickBites,SouthIndianNorthIndian,300.0
Ugadi,Yes,No,Jayanagar,CasualDining,NorthIndianChineseBiryaniAndhraMangalorean,700.0
SriKrishnaSweets,Yes,No,Basavanagudi,SweetShop,MithaiDesserts,250.0
InTimeCaneJuice,Yes,No,KumaraswamyLayout,BeverageShop,JuicesBeverages,100.0
Subway,Yes,No,Banashankari,QuickBites,SaladFastFood,600.0
DaalRoti,Yes,No,KumaraswamyLayout,QuickBites,NorthIndianChinese,250.0
TheLassiPark,Yes,No,Jayanagar,QuickBites,JuicesDesserts,200.0
CafeCoffeeDay,Yes,No,Jayanagar,Cafe,CafeFastFood,900.0
A2B-AdyarAnandaBhavan,Yes,No,MysoreRoad,CasualDining,SouthIndianNorthIndianChineseStreetFood,400.0
SrikrishnaBhavan,Yes,No,Banashankari,QuickBites,SouthIndianNorthIndianChinese,300.0
GreenGardenia,Yes,No,Banashankari,CasualDining,NorthIndianChinese,700.0
JSpice,Yes,No,Banashankari,CasualDining,NorthIndianChinese,750.0
KaravaliFamilyRestaurant,Yes,No,Jayanagar,CasualDining,SeafoodBiryaniSouthIndianNorthIndianChinese,500.0
KaravaliLunchHome,Yes,No,KumaraswamyLayout,QuickBites,SouthIndianMangalorean,350.0
HattiKaapi,Yes,No,Jayanagar,QuickBites,SouthIndianBeverages,200.0
KolkataKathiRoll's,Yes,No,Banashankari,QuickBites,FastFoodRolls,250.0
UpaharaDarshini,Yes,No,Basavanagudi,CasualDining,NorthIndianChineseSouthIndianFastFood,600.0
TheChaatShop,Yes,No,Basavanagudi,QuickBites,FastFood,200.0
AndaKaFunda,Yes,No,Jayanagar,QuickBites,NorthIndianChineseRolls,250.0
ShriVinayakaIceNJuice,Yes,No,Basavanagudi,QuickBites,BeveragesFastFood,150.0
Ibaco,Yes,No,Jayanagar,DessertParlor,Desserts,300.0
JalaramSweets,Yes,No,Jayanagar,SweetShop,DessertsMithai,250.0
Samskruti-SanmanGardenia,Yes,No,Jayanagar,CasualDining,NorthIndianChineseSouthIndian,550.0
BendakaluruBytes,Yes,No,VijayNagar,QuickBites,FastFood,300.0
CocoaBakes,Yes,No,Banashankari,Bakery,BakeryDesserts,350.0
ChummaDelicious,Yes,No,Banashankari,QuickBites,SouthIndianFastFood,200.0
NewPrashanthHotel,Yes,No,Banashankari,CasualDining,BiryaniNorthIndianSeafoodAndhra,650.0
SSVUpahar,Yes,No,Jayanagar,QuickBites,SouthIndianChinese,300.0
DwarakaGrand,Yes,No,KumaraswamyLayout,CasualDining,SouthIndianChineseStreetFoodJuices,500.0
Gufha-ThePresidentHotel,Yes,Yes,Jayanagar,CasualDining,NorthIndianAfghaniMughlai,1200.0
Tanna'sKitchen,Yes,No,KumaraswamyLayout,QuickBites,ItalianChineseStreetFood,250.0
ShreeMandarathiGrand,Yes,No,Uttarahalli,CasualDining,SouthIndianNorthIndian,400.0
MojoPizza-2XToppings,Yes,No,Banashankari,Delivery,Pizza,600.0
IcebergIcecreams,Yes,No,Basavanagudi,DessertParlor,DessertsIceCream,250.0
SouthKitchen,Yes,No,Basavanagudi,QuickBites,SouthIndian,100.0
ChungWah,Yes,No,Jayanagar,CasualDining,ChineseThaiMomos,850.0
ShanthiSagar,Yes,No,Uttarahalli,CasualDining,SouthIndianNorthIndianChinese,400.0
MilletMama,Yes,No,Basavanagudi,QuickBites,SouthIndianHealthyFood,200.0
BangarpetChatExpress,Yes,No,Basavanagudi,QuickBites,StreetFoodFastFood,100.0
SouthCoolPoint,Yes,No,Basavanagudi,DessertParlor,Beverages,100.0
PremsGraamaBhojanam,Yes,No,Jayanagar,CasualDining,SouthIndian,400.0
JavaCity,Yes,No,Jayanagar,Cafe,CafeAmericanPizza,450.0
KamatBugleRock,Yes,No,Basavanagudi,QuickBites,SouthIndianFastFood,300.0
PuliyogarePoint,Yes,No,Basavanagudi,QuickBites,SouthIndian,100.0
BangaloreAgarwalBhavan,Yes,No,Jayanagar,QuickBites,StreetFoodNorthIndianSouthIndian,400.0
RusticStove,Yes,No,Jayanagar,CasualDining,NorthIndianSouthIndianBiryaniBeverages,900.0
UdupiRuchiGrand,Yes,No,Banashankari,QuickBites,SouthIndianNorthIndianChineseStreetFood,200.0
DeThaali,Yes,No,Jayanagar,CasualDining,NorthIndianChineseRolls,550.0
JustThindi,Yes,No,Basavanagudi,QuickBites,SouthIndian,200.0
MatruSagar,Yes,No,Banashankari,QuickBites,SouthIndianNorthIndianChinese,250.0
VasanthVihar-Since1965,Yes,No,Banashankari,QuickBites,SouthIndianStreetFood,150.0
SeaSpiceby7Star,Yes,Yes,Banashankari,CasualDining,SeafoodBiryaniBeveragesSouthIndianNorthIndianKebab,1200.0
DesiDawat,Yes,No,KumaraswamyLayout,QuickBites,NorthIndianFastFood,400.0
CafeAira,Yes,No,Basavanagudi,Cafe,CafeContinentalBeveragesDesserts,500.0
DonneBiriyanicombos,Yes,No,KumaraswamyLayout,CasualDining,Biryani,400.0
MastPunjabi,Yes,No,KumaraswamyLayout,QuickBites,NorthIndianChineseRollsBiryaniKebab,400.0
SouthGrand,Yes,No,Uttarahalli,CasualDining,SouthIndianNorthIndianChineseBeverages,400.0
ThePizzeria,Yes,No,Banashankari,CasualDining,PizzaItalianSalad,800.0
CafeZone,Yes,No,KumaraswamyLayout,QuickBites,FastFoodChineseRolls,300.0
RuchisPoint,Yes,No,Banashankari,QuickBites,FastFoodChinese,200.0
FirangiBake,Yes,No,RajarajeshwariNagar,Delivery,MexicanItalian,600.0
TheRoyalCorner-PaiViceroy,Yes,Yes,Jayanagar,CasualDining,NorthIndianChinese,900.0
HaraFineDine,Yes,Yes,Banashankari,CasualDining,NorthIndianChinese,800.0
Chocoberry,Yes,No,Jayanagar,DessertParlor,IceCreamDessertsBeverages,400.0
DakshinGrand,Yes,No,Banashankari,QuickBites,SouthIndianNorthIndianChineseStreetFood,300.0
Sandwichwallas,Yes,No,Jayanagar,QuickBites,FastFood,200.0
ChaiMane,Yes,No,Basavanagudi,QuickBites,JuicesFastFood,150.0
SLVUpachar,Yes,No,KumaraswamyLayout,QuickBites,SouthIndianChineseStreetFood,250.0
Waffle-A-GoGo,Yes,No,Banashankari,DessertParlor,FastFoodDessertsIceCream,400.0
CrossRoadCafe,Yes,No,Jayanagar,Cafe,CafeFastFoodChinese,300.0
AnandDonneBiriyani,Yes,No,Jayanagar,QuickBites,Biryani,200.0
SevenStar,Yes,No,Banashankari,QuickBites,NorthIndianChinese,250.0
Stop'N'Joy,Yes,No,Banashankari,QuickBites,FastFood,150.0
SriYakshaShivSagar,Yes,No,Banashankari,CasualDining,NorthIndianChinese,600.0
Fudge,Yes,No,Basavanagudi,DessertParlor,DessertsMomos,200.0
