NAME,ONLINE_ORDER,RESERVATION_STATUS,LOCATION,REST_TYPE,CUISINES,APPROX_COST(FOR TWO PEOPLE)
MidnightFoodie,No,No,Marathahalli,Delivery,NorthIndian,250.0
MagicParathaBox,No,No,Marathahalli,QuickBites,NorthIndian,400.0
SouthTiffinCorner,No,No,Whitefield,Delivery,SouthIndian,150.0
DelhiToHotel,No,No,Marathahalli,QuickBites,NorthIndianChinese,350.0
SunriseFamilyRestaurant,No,No,Whitefield,CasualDining,NorthIndianSouthIndianChinese,500.0
Chawla's2online.com,No,No,Marathahalli,Delivery,NorthIndianChinese,900.0
WatheenNuts,No,No,Whitefield,TakeawayDelivery,,400.0
LordofCombos,No,No,Whitefield,Delivery,NorthIndian,500.0
SLPrabhat,No,No,Whitefield,Delivery,FastFoodNorthIndianSandwich,200.0
Kanteen077,No,No,Whitefield,QuickBites,BeveragesFastFood,200.0
ChashniSweets,No,No,Whitefield,SweetShop,MithaiStreetFood,200.0
BBxR,No,No,Marathahalli,Delivery,BiryaniKebab,400.0
MaduraiCanteen,No,No,Whitefield,QuickBites,SouthIndianChettinad,200.0
BestBiryani,No,No,Marathahalli,QuickBites,NorthIndianBiryaniDesserts,600.0
EpicBiryani,No,No,Whitefield,TakeawayDelivery,BiryaniKebab,300.0
PRKitchen,No,No,Whitefield,QuickBites,SouthIndianChinese,350.0
Sultan'sBiryani,No,No,Marathahalli,Delivery,BiryaniNorthIndian,700.0
SpoonMe,No,No,Whitefield,Delivery,BengaliNorthIndianChinese,400.0
Panky'sKitchen,No,No,Whitefield,QuickBites,NorthIndian,400.0
Nirala'sHomeKitchen,No,No,Marathahalli,Delivery,BihariNorthIndian,300.0
BBQKing,No,No,Marathahalli,CasualDining,FastFoodChineseBurgerHotdogsSandwich,400.0
WowTiffinFood,No,No,Whitefield,QuickBites,NorthIndian,200.0
Disha'sCakeBoutique,No,No,Marathahalli,Delivery,Bakery,400.0
MeatAndEat,No,No,Whitefield,QuickBites,FastFoodBurger,500.0
VishwaasTakeAway,No,No,Marathahalli,QuickBites,NorthIndianChinese,250.0
HotelBhuvaneshwari,No,No,Whitefield,QuickBites,NorthIndian,350.0
NYSKitchen,No,No,Whitefield,QuickBites,NorthIndianChinese,300.0
Creamiester,No,No,Whitefield,DessertParlor,IceCreamDesserts,300.0
SLVSpiceUp,No,No,Marathahalli,QuickBites,SouthIndianNorthIndianChinese,400.0
ChocoFudge,No,No,Marathahalli,BeverageShopQuickBites,BeveragesFastFoodIceCreamSandwich,250.0
SaiCharanTiffinHouse,No,No,Whitefield,QuickBites,SouthIndian,150.0
CafeKnight,No,No,Marathahalli,QuickBites,FastFoodNorthIndian,200.0
InhouseBurger,No,No,Whitefield,QuickBites,BurgerFastFood,500.0
Burritto,No,No,Marathahalli,TakeawayDelivery,Chinese,200.0
Floweraura,No,No,Whitefield,TakeawayDelivery,Bakery,600.0
APinchOfMagic,No,No,Whitefield,TakeawayDelivery,BakeryDesserts,1000.0
MordernTiffin,No,No,Whitefield,Delivery,BengaliChineseNorthIndian,300.0
ComfertFoods,No,No,ITPLMainRoadWhitefield,QuickBites,NorthIndian,200.0
Jo&Mo,No,No,Whitefield,TakeawayDelivery,ChineseNorthIndianJuices,400.0
GharKePhulke,No,No,ITPLMainRoadWhitefield,QuickBites,NorthIndian,300.0
AmburHotDumBiryani,No,No,Marathahalli,QuickBites,BiryaniChinese,300.0
RedPepper,No,No,Whitefield,QuickBites,NorthIndianBengaliBiryaniMughlai,250.0
HyderabadBiryani,No,No,Whitefield,QuickBites,Biryani,300.0
PindiBangalore,No,No,Whitefield,CasualDining,NorthIndianChineseBiryaniStreetFood,950.0
Chattorey-TheFamilyRestaurant,No,No,Marathahalli,CasualDining,NorthIndianChinese,400.0
TastyFood,Yes,No,Whitefield,QuickBites,NorthIndianChinese,300.0
Arzak,No,No,VarthurMainRoadWhitefield,TakeawayDelivery,ArabianMiddleEasternRollsSeafoodBBQ,300.0
HappyKitchen,No,No,Marathahalli,QuickBites,NorthIndianChinese,350.0
Noibidya,No,No,Marathahalli,QuickBites,NorthIndianBengali,400.0
Shivsagar,No,No,Whitefield,QuickBites,SouthIndianStreetFoodNorthIndian,250.0
NawabDiBiryani,Yes,No,Whitefield,TakeawayDelivery,BiryaniMughlai,400.0
Shakes365,No,No,Whitefield,BeverageShop,Beverages,300.0
NewRoyalTreat,Yes,No,Marathahalli,QuickBites,NorthIndianChinese,350.0
NewUdupiDelicacy,Yes,No,Whitefield,QuickBites,SouthIndianNorthIndianChinese,250.0
DakshinSpice,Yes,Yes,Marathahalli,CasualDining,SouthIndianNorthIndianChineseBiryani,800.0
MorizRestaurant,Yes,No,Brookefield,CasualDining,ArabianNorthIndianBiryaniChineseSeafood,750.0
NewFoodMagic,Yes,No,Marathahalli,QuickBites,NorthIndianChineseBiryani,400.0
ChefBaker's,Yes,No,Marathahalli,BakeryQuickBites,Bakery,450.0
BasmatiRestaurant,Yes,No,Whitefield,QuickBites,NorthIndianSouthIndianChineseBiryani,350.0
OotyChocolates,Yes,No,Whitefield,DessertParlor,Desserts,300.0
UmaBhaiRestaurant,Yes,No,Marathahalli,QuickBites,Oriya,200.0
CafePetu,Yes,No,Marathahalli,QuickBites,NorthIndianSandwich,300.0
JuiceBerg,Yes,No,Brookefield,QuickBites,BeveragesFastFood,150.0
KolkataFamousKattiRolls,Yes,No,Marathahalli,QuickBites,FastFoodRolls,200.0
FlavorsRestaurant,Yes,No,Whitefield,CasualDining,NorthIndianChinese,700.0
KremeDelight,Yes,No,Whitefield,Bakery,BakeryDesserts,300.0
DeliciousCakes,Yes,No,Marathahalli,DessertParlor,Bakery,400.0
BaskinRobbins,Yes,No,Brookefield,DessertParlor,IceCreamDesserts,250.0
RafooChakkar,Yes,No,Whitefield,QuickBites,NorthIndianRolls,300.0
Zeee's,Yes,No,Whitefield,QuickBites,FastFoodNorthIndianStreetFood,300.0
AmaravatiAuthenticAndhraRestaurant,Yes,No,Brookefield,CasualDining,AndhraChineseNorthIndianBiryani,600.0
Nanda's,Yes,No,Marathahalli,CasualDining,AndhraNorthIndianChineseSeafoodBiryani,650.0
JagannathDelicacy,No,No,Brookefield,CasualDining,NorthIndianChinese,500.0
Yumlane,Yes,No,Brookefield,TakeawayDelivery,PizzaFastFood,200.0
MasterChifoo,Yes,No,Marathahalli,CasualDining,ChineseThaiMomos,800.0
NirvanaFoods,Yes,No,Whitefield,QuickBites,SouthIndianChinese,300.0
O2JuiceBar,Yes,No,Marathahalli,BeverageShopQuickBites,JuicesFastFood,200.0
DhabaSocial,Yes,No,Brookefield,CasualDining,NorthIndian,700.0
CreamandFudge,Yes,No,Brookefield,DessertParlor,IceCreamDesserts,250.0
SudhirVadaPav&ParathaCenter,Yes,No,Marathahalli,QuickBites,StreetFood,250.0
99Caffe,Yes,No,Brookefield,QuickBites,SouthIndianNorthIndianChinese,250.0
BangaloreAgarwalBhavan,Yes,No,Whitefield,SweetShop,MithaiStreetFood,500.0
NewUdupiUpahar,Yes,No,Marathahalli,QuickBites,ChineseNorthIndianSouthIndian,300.0
MangaloreLunchHome,Yes,No,Whitefield,QuickBites,NorthIndianSouthIndianMangalorean,300.0
KababMagic,Yes,No,Marathahalli,CasualDining,NorthIndianKebabFastFood,500.0
HomelyDelight,Yes,No,Brookefield,QuickBites,NorthIndian,300.0
Ginger&Garlic,Yes,No,Brookefield,QuickBites,SouthIndianNorthIndianChinese,350.0
Zeeshan,Yes,No,Marathahalli,QuickBites,NorthIndianKebabBiryaniRolls,700.0
SLVGrand,Yes,No,ITPLMainRoadWhitefield,QuickBites,SouthIndian,300.0
Puchkas,Yes,No,Marathahalli,QuickBites,StreetFoodNorthIndian,200.0
Sankranti,Yes,No,Marathahalli,CasualDining,Andhra,600.0
DesiDoze,Yes,No,Whitefield,QuickBites,NorthIndianFastFood,400.0
HungerStop,Yes,No,Whitefield,QuickBites,NorthIndianChineseFastFood,300.0
Kakaji,Yes,No,Marathahalli,QuickBites,NorthIndian,350.0
AndhraRuchulu,Yes,No,Brookefield,FoodCourt,AndhraNorthIndianChineseBiryani,500.0
SouthHouse,Yes,No,Brookefield,CasualDining,SouthIndianBiryani,800.0
Oakleaf,Yes,No,Whitefield,CasualDining,AsianContinentalNorthIndianItalian,2000.0
Kidilum,Yes,No,Whitefield,QuickBites,KeralaChineseNorthIndian,350.0
MadOverDonuts,Yes,No,Whitefield,DessertParlor,BakeryDessertsBeverages,450.0
PotBiryani,Yes,No,Whitefield,QuickBites,NorthIndianChineseBiryaniSeafood,600.0
MKDabbawala,No,No,Brookefield,Delivery,NorthIndian,400.0
Tandooriwala,Yes,No,Whitefield,FoodCourtQuickBites,NorthIndianMughlai,700.0
FriendsDiner,Yes,No,Whitefield,CasualDining,ContinentalItalianPizza,700.0
SanjhaChulha,Yes,Yes,Marathahalli,CasualDining,NorthIndianPizzaFastFood,800.0
Cake24x7,Yes,No,Whitefield,Bakery,BakeryDesserts,450.0
Raapchick,Yes,No,Brookefield,QuickBites,FastFoodBurger,300.0
ChineseStreet,Yes,No,Marathahalli,Delivery,Chinese,550.0
MistnCreams,Yes,No,Whitefield,DessertParlor,IceCream,400.0
Dawat,Yes,No,Marathahalli,QuickBites,NorthIndianChinese,400.0
AndhraKafe,Yes,No,Whitefield,CasualDining,AndhraSouthIndianNorthIndianBiryani,550.0
ChikpetDonneBiriyaniHouse,Yes,No,Whitefield,FoodCourt,BiryaniKebab,400.0
TreatRestaurant,Yes,No,Whitefield,CasualDining,SouthIndianNorthIndianChinese,400.0
Freshkhilao,Yes,No,Brookefield,CasualDining,ChineseNorthIndianBiryaniJuices,750.0
HotBrixx,Yes,No,Marathahalli,QuickBites,ItalianPizza,500.0
AashishFoods,Yes,No,Brookefield,QuickBites,NorthIndian,150.0
ApnaHotel,Yes,No,Whitefield,QuickBites,NorthIndianHyderabadi,300.0
DawatMidnightExpress,Yes,No,Marathahalli,TakeawayDelivery,NorthIndianChinese,450.0
Haveli,Yes,No,Marathahalli,CasualDining,BiryaniNorthIndianMughlai,700.0
OrganoFresh,Yes,No,Whitefield,BeverageShop,Juices,150.0
TacoBell,Yes,No,Whitefield,QuickBites,MexicanAmericanFastFood,600.0
Celebrations365,Yes,No,Brookefield,DessertParlor,DessertsIceCream,350.0
JLTFood,Yes,No,Whitefield,QuickBites,NorthIndian,450.0
TheITCrowd,Yes,No,Whitefield,QuickBites,NorthIndianBurgerSandwichChinese,400.0
LittleNature,Yes,No,Marathahalli,QuickBitesBeverageShop,JuicesIceCreamFastFood,250.0
SriManjunathaHotel,Yes,No,Brookefield,QuickBites,NorthIndian,250.0
YumYumSouth,Yes,No,Whitefield,Delivery,SouthIndian,600.0
SindhuriRestaurant,Yes,No,Marathahalli,CasualDining,ChineseNorthIndianBiryani,600.0
NYSKitchen,Yes,No,Whitefield,QuickBites,NorthIndianChinese,500.0
KonaseemaGrand,Yes,No,Whitefield,CasualDining,NorthIndianMughlaiAndhraBiryani,1000.0
LusciousFolks,Yes,No,Marathahalli,QuickBites,NorthIndian,250.0
NandiMess-FeelLikeMom's,Yes,No,Whitefield,QuickBites,SouthIndian,250.0
GoldenRice,Yes,No,Marathahalli,CasualDining,NorthIndianMughlaiSeafoodChinese,1000.0
ButterlyCafe,Yes,No,Whitefield,Cafe,Cafe,550.0
Orzuv,Yes,Yes,Whitefield,CasualDiningCafe,KashmiriCafe,1100.0
KudilKeralaKitchen,Yes,No,Marathahalli,QuickBites,Kerala,300.0
Kettle&Kegs,Yes,No,Whitefield,Delivery,TeaBeverages,200.0
Paakam,Yes,No,Marathahalli,QuickBites,SouthIndian,150.0
MithaiTime,Yes,No,Whitefield,SweetShopQuickBites,MithaiNorthIndianStreetFood,200.0
Visantoe,Yes,No,Whitefield,Kiosk,FastFood,400.0
WeFoodie,Yes,No,Whitefield,QuickBites,FastFoodNorthIndian,300.0
Toasty's,Yes,No,Whitefield,FoodCourt,FastFood,500.0
CookieMan,Yes,No,Whitefield,Bakery,Bakery,150.0
PunjabiPark,Yes,No,ITPLMainRoadWhitefield,QuickBites,NorthIndian,400.0
IzakayaGastroPub,Yes,Yes,Whitefield,BarCasualDining,NorthIndianContinentalMediterranean,1200.0
HotteySmokey,Yes,No,ITPLMainRoadWhitefield,FoodCourt,ContinentalFastFood,500.0
VaigaiExpress,Yes,No,Whitefield,FoodCourt,SouthIndianNorthIndianChinese,400.0
SouthTreat,Yes,No,Whitefield,FoodCourt,SouthIndian,400.0
RollsMania,Yes,No,Whitefield,QuickBites,FastFoodRolls,450.0
Yumatos,Yes,No,Whitefield,QuickBites,NorthIndianChinese,500.0
Parasme,Yes,No,Marathahalli,QuickBitesDessertParlor,ContinentalItalianChineseNorthIndianMomos,400.0
TheGrilled&Fried,Yes,No,Whitefield,QuickBites,FastFood,300.0
NewRajalakshmiSweets,Yes,No,Whitefield,SweetShop,Mithai,300.0
AutoExpress-HotDogs,Yes,No,Whitefield,TakeawayDelivery,FastFood,300.0
FriendzZone,Yes,No,Whitefield,QuickBites,NorthIndianStreetFood,400.0
Daniyal's,Yes,No,Marathahalli,CasualDining,NorthIndianBiryaniMughlaiKebab,800.0
DrunkenMonkey,Yes,No,Marathahalli,BeverageShopQuickBites,BeveragesFastFood,400.0
Tayabbs,Yes,No,Whitefield,QuickBites,FastFoodRolls,350.0
Petoo,Yes,No,Whitefield,CasualDining,NorthIndianFastFoodStreetFood,800.0
SreeKrishnaKafe,Yes,No,Whitefield,QuickBites,SouthIndian,200.0
ChinaOnMyPlate,Yes,No,Whitefield,CasualDining,Chinese,800.0
CheersLife,Yes,No,VarthurMainRoadWhitefield,Kiosk,BeveragesJuices,300.0
Lassi,Yes,No,Marathahalli,BeverageShopQuickBites,BeveragesJuicesIceCreamSandwichFastFood,200.0
ForeignCafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,Whitefield,Delivery,Continental,500.0
INDULGEbyInnerChef,Yes,No,Whitefield,Bakery,DessertsBakery,400.0
KakaFoodCorner,Yes,No,Whitefield,QuickBites,NorthIndian,300.0
CentralCafe,Yes,No,Marathahalli,BeverageShopQuickBites,BeveragesFastFood,300.0
HoodiBabaAStr-eatCaff,Yes,No,Whitefield,QuickBites,NorthIndianStreetFood,300.0
Aaha,Yes,No,Brookefield,QuickBites,NorthIndianChinese,300.0
TheBigGrill,Yes,No,Marathahalli,QuickBites,NorthIndianChineseMughlai,400.0
WorldInABowl,Yes,No,Whitefield,Delivery,ContinentalNorthIndianDessertsBeverages,600.0
GangaFoods,Yes,No,Marathahalli,QuickBites,SouthIndianChinese,200.0
TheDifference,Yes,No,Whitefield,CasualDining,NorthIndianChineseArabian,600.0
Goodness!Beverages,Yes,No,Whitefield,TakeawayDelivery,Beverages,250.0
BombaySandwichCompany,Yes,No,Whitefield,Delivery,SandwichBeverages,400.0
Swad-DeshiRestaurant,Yes,No,Marathahalli,QuickBites,SouthIndianChinese,300.0
